EmpID,Age,AgeGroup,ATTRITION_STATUS,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome_SLABWISE,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked_SLABWISE,NumCompaniesWorked,Over18,OverTime,SALARY HIKE SLAB,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears-SLABWISE,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany_SLABWISE,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion_LST PROMOTION,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,1,Yes,Travel_Rarely,230,Research & Development,0-5 KM,3,3,Life Sciences,1,405,VERY GOOD,Male,54,3,1,Laboratory Technician,GOOD,Single,1420,Upto 5k,25233,1 TO 4,1,Y,No,10-15%,13,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,0,2,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM302,18,18-25,0,No,Travel_Rarely,812,Sales,6-10 KM,10,3,Medical,1,411,EXCELLENT,Female,69,2,1,Sales Representative,GOOD,Single,1200,Upto 5k,9724,1 TO 4,1,Y,No,10-15%,12,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,0,2,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM458,18,18-25,1,Yes,Travel_Frequently,1306,Sales,0-5 KM,5,3,Marketing,1,614,GOOD,Male,69,3,1,Sales Representative,POOR,Single,1878,Upto 5k,8059,1 TO 4,1,Y,Yes,10-15%,14,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,0,3,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM728,18,18-25,0,No,Non-Travel,287,Research & Development,0-5 KM,5,2,Life Sciences,1,1012,GOOD,Male,73,3,1,Research Scientist,FULLY SATISFIED,Single,1051,Upto 5k,13493,1 TO 4,1,Y,No,10-15%,15,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,0,2,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM829,18,18-25,1,Yes,Non-Travel,247,Research & Development,6-10 KM,8,1,Medical,1,1156,VERY GOOD,Male,80,3,1,Laboratory Technician,GOOD,Single,1904,Upto 5k,13556,1 TO 4,1,Y,No,10-15%,12,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,0,0,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM973,18,18-25,0,No,Non-Travel,1124,Research & Development,0-5 KM,1,3,Life Sciences,1,1368,EXCELLENT,Female,97,3,1,Laboratory Technician,FULLY SATISFIED,Single,1611,Upto 5k,19305,1 TO 4,1,Y,No,10-15%,15,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,0,5,EXCELENT,0-5YR,0,0,0-3 YR,0,0
RM1154,18,18-25,1,Yes,Travel_Frequently,544,Sales,0-5 KM,3,2,Medical,1,1624,GOOD,Female,70,3,1,Sales Representative,FULLY SATISFIED,Single,1569,Upto 5k,18420,1 TO 4,1,Y,Yes,10-15%,12,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,0,2,EXCELENT,0-5YR,0,0,0-3 YR,0,0
RM1312,18,18-25,0,No,Non-Travel,1431,Research & Development,11-15 KM,14,3,Medical,1,1839,GOOD,Female,33,3,1,Research Scientist,GOOD,Single,1514,Upto 5k,8018,1 TO 4,1,Y,No,16-20%,16,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,0,4,POOR,0-5YR,0,0,0-3 YR,0,0
RM128,19,18-25,1,Yes,Travel_Rarely,528,Sales,20 -30 KM,22,1,Marketing,1,167,EXCELLENT,Male,50,3,1,Sales Representative,GOOD,Single,1675,Upto 5k,26820,1 TO 4,1,Y,Yes,16-20%,19,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,0,2,GOOD ,0-5YR,0,0,0-3 YR,0,0
RM150,19,18-25,0,No,Travel_Rarely,1181,Research & Development,0-5 KM,3,1,Medical,1,201,GOOD,Female,79,3,1,Laboratory Technician,POOR,Single,1483,Upto 5k,16102,1 TO 4,1,Y,No,10-15%,14,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,1,3,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM172,19,18-25,1,Yes,Travel_Frequently,602,Sales,0-5 KM,1,1,Technical Degree,1,235,VERY GOOD,Female,100,1,1,Sales Representative,NOT SATISFIED,Single,2325,Upto 5k,20989,PHRESHER,0,Y,No,21-25 %,21,ABOVE AVERAGE,BAD,80,BEGINNER,0-5 YEARS,1,5,EXCELENT,0-5YR,0,0,0-3 YR,0,0
